Gene
"AIFM1	"
AK2
ANP32A
"APAF1	"
AVEN
BAD
BAK1
BAX
BBC3
BCL2
BCL2A1
BCL2L1
BCL2L2
"BECN1	"
BID
BIK
"BIRC2	"
"BIRC3	"
BMF
"BNIP3	"
BNIP3L
BOK
"CASP1	"
CASP10
CASP12
CASP14
"CASP2	"
"CASP3	"
"CASP4	"
"CASP5	"
"CASP6	"
"CASP7	"
"CASP8	"
"CASP9	"
"CFLAR	"
"CRADD	"
"CSE1L	"
CYCS
CYLD
DIABLO
"ENDOG	"
FADD
FAS
"FASLG	"
"GAPDH	"
HRK
"HTRA2	"
"MALT1	"
"MAPK8	"
MCL1
"MOAP1	"
"MYD88	"
"NLRP1	"
"NLRP3	"
NOL3
OPA1
PIDD
PMAIP1
PYCARD
"RIPK1	"
"RIPK3	"
SH3GLB
TNF
TNFRSF
TNFSF1
TP53
"TRADD	"
"TRAF1	"
"TRAF2	"
XAF1
XIAP
